lsoa_code,lsoa_name_1,lsoa_name_2,middle_layer_super_output_area_msoa_code,middle_layer_super_output_area_msoa_name,local_authority_la_code,local_authority_la_name,rural_urban,rural_urban_classification,built_up_area_bua_code,built_up_area_bua_name,economic_region_economic_action_plan_area_eap_code,number_of_children_0_to_5_2020,number_of_births_2020_to_mothers_24_and_under_years,number_of_births_2020_to_mothers_25_to_34_years,number_of_births_2020_to_mothers_35_and_over_years,total_number_of_births_2020,population_2020_all_ages,birth_rate_per_1000_2020,number_of_births_2019_to_mothers_24_and_under_years,number_of_births_2019_to_mothers_25_to_34_years,number_of_births_2019_to_mothers_35_and_over_years,total_number_of_births_2019,population_2019_all_ages,birth_rate_per_1000_2019,number_of_births_2018_to_mothers_24_and_under_years,number_of_births_2018_to_mothers_25_to_34_years,number_of_births_2018_to_mothers_35_and_over_years,total_number_of_births_2018,population_2018_all_ages,birth_rate_per_1000_2018,number_of_births_2017_to_mothers_24_and_under_years,number_of_births_2017_to_mothers_25_to_34_years,number_of_births_2017_to_mothers_35_and_over_years,total_number_of_births_2017,population_2017_all_ages,birth_rate_per_1000_2017,wimd_decile,wimd_income_deprivation_count_0_to_4,wimd_income_domain_deciles,wimd_income_domain_people_in_income_deprivation_percentage,wimd_employment_domain_deciles,wimd_employment_domain_working_age_people_in_employment_deprivation_percentage,wimd_health_domain_deciles,wimd_health_domain_gp_recorded_chronic_condition_rate_per_100,wimd_health_domain_limiting_long_term_illness_rate_per_100,"wimd_health_domain_premature_death_rate_per_100,000",wimd_health_domain_gp_recorded_mental_health_condition_rate_per_100,"wimd_health_domain_cancer_incidence_rate_per_100,000",wimd_health_domain_low_birth_weight_live_single_births_less_than_2.5kg_percentage,wimd_health_domain_children_aged_4_to_5_who_are_obese_percentage,wimd_education_domain_deciles,wimd_education_domain_foundation_phase_average_point_score,wimd_education_domain_key_stage_2_average_point_score,wimd_education_domain_key_stage_4_average_point_score,wimd_education_domain_repeat_absenteeism_percentage,wimd_education_domain_key_stage_4_leavers_entering_higher_education_percentage,wimd_education_domain_adults_aged_25_to_64_with_no_qualifications_percentage,wimd_access_to_services_domain_deciles,wimd_access_to_services_domain_percentage_unavailability_of_broadband_at_30mb_s,wimd_access_to_services_domain_average_public_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_petrol_station_mins,wimd_housing_domain_deciles,wimd_housing_domain_people_in_overcrowded_households_percentage,wimd_housing_domain_likelihood_of_poor_quality_housing_percentage,wimd_housing_domain_likelihood_of_housing_containing_serious_hazards_percentage,wimd_housing_domain_likelihood_of_housing_being_in_disrepair_percentage,wimd_physical_environment_domain_deciles,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_no2,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates__less_than_10_microm,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_less_than_2_point_5_micro_m,wimd_physical_environment_domain_households_at_risk_of_flooding_score,wimd_physical_environment_domain_proximity_to_accessible_natural_green_space_score_percentage_of_households,wimd_physical_environment_domain_ambient_green_space_score,wimd_community_safety_domain_deciles,wimd_community_safety_domain_police_recorded_criminal_damage_rate_per_100,wimd_community_safety_domain_police_recorded_violent_crime_rate_per_100,wimd_community_safety_domain_anti_social_behaviour_rate_per_100,wimd_community_safety_domain_police_recorded_burglary_rate_per_100,wimd_community_safety_domain_police_recorded_theft_rate_per_100,wimd_community_safety_domain_fire_incidences_rate_per_100,change_birth_rates_18to20,change_birth_rates_17to20,mean_fpp_score,mean_fpp_score_rounded,fpp_mean_difference,fpp_performance
W01000033,Morawelon,Isle of Anglesey 003E,W02000003,Isle of Anglesey 003,W06000001,Isle of Anglesey,Urban,Large town (Sparse),W37000301,Holyhead BUA,WXX000001,130,9,11,1,21,1600,13.13,6,7,1,14,1607,8.71,13,10,2,25,1576,15.86,10,12,1,23,1576,14.59,2,46.06,2,29,1,19,2,18.7,26.3,577.8,30.8,741.6,6.5,,2,103,85,105,6,20.1,34.3,3,11,29,19,27,19,21,32,41,43,7,2,7,3,3,13,8,12,6,9,5.91,8.5,7.9,1.2,10,7.9,7.9,5.3,2.1,97,0.151,1,2.43,6.46,8.13,0.85,0.34,0.6,Other,Other,102.0890052,102,0.910994764,Other
W01000034,Parc a'r Mynydd,Isle of Anglesey 004B,W02000004,Isle of Anglesey 004,W06000001,Isle of Anglesey,Urban,Large town (Sparse),W37000301,Holyhead BUA,WXX000001,80,2,10,1,13,1284,10.12,1,9,4,14,1262,11.09,1,7,2,10,1206,8.29,0,6,1,7,1175,5.96,7,12.6,6,14,6,9,7,13.3,19.8,332.1,26.2,582,3.6,,5,101,87,111,4.2,32.6,16.7,4,2,33,21,31,31,46,35,56,41,7,3,7,7,5,9,5,5,12,10,1.65,10.4,9.9,2,10,3.9,7.1,4.7,7,89.3,0.287,4,1.28,3.74,2.32,,,1.11,Other,Other,105.3403141,105,-4.340314136,Other
W01000035,Pentraeth,Isle of Anglesey 005E,W02000005,Isle of Anglesey 005,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,115,1,11,1,13,1850,7.03,1,5,4,10,1821,5.49,3,8,2,13,1834,7.09,2,6,7,15,1838,8.16,6,8.32,6,12,7,7,7,11.6,19.8,334.6,24.4,581.7,2.9,,7,107,90,124,3.9,34.6,13.6,1,12.4,74,64,69,73,54,74,84,88,16,10,16,16,7,16,17,22,10,2,5.5,30.7,28.9,3.5,9,4.3,6.7,4.5,15.2,58.2,0.236,8,0.51,1.49,1.17,0.77,,0.33,Other,Other,104.5767196,105,2.423280423,Other
W01000036,Porthyfelin 1,Isle of Anglesey 003F,W02000003,Isle of Anglesey 003,W06000001,Isle of Anglesey,Urban,Large town (Sparse),W37000301,Holyhead BUA,WXX000001,84,3,7,2,12,1113,10.78,5,2,1,8,1077,7.43,5,7,1,13,1106,11.75,7,11,1,19,1087,17.48,2,28.35,2,28,2,19,4,15.3,26.9,414.4,29.5,672.7,5.7,,2,102,84,106,8.3,18.8,22.6,6,0.4,20,19,25,20,28,20,26,28,4,2,4,3,5,3,4,5,9,5,3.86,21.7,20.1,4.6,9,6.6,8.5,5.6,18.7,94.8,0.121,2,2.17,3.88,4.26,1.14,,,Other,Other,102.0890052,102,-0.089005236,Other
W01000037,Porthyfelin 2,Isle of Anglesey 003G,W02000003,Isle of Anglesey 003,W06000001,Isle of Anglesey,Urban,Large town (Sparse),W37000301,Holyhead BUA,WXX000001,51,1,7,1,9,1184,7.6,2,8,1,11,1179,9.33,1,5,0,6,1186,5.06,0,2,2,4,1149,3.48,6,13.34,4,17,4,11,5,14.9,21.4,378.6,25.9,623.7,3.7,,4,104,84,119,8,25.5,23.9,7,5.4,27,18,27,19,25,24,21,26,4,2,4,3,4,4,3,4,10,9,1.57,14.8,13,2.9,10,6,7.7,5.1,2.1,95.1,0.179,5,1.1,2.46,2.11,0.93,,,Other,Other,104.5767196,105,-0.576719577,Other
W01000038,Rhosyr,Isle of Anglesey 009D,W02000009,Isle of Anglesey 009,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,110,5,9,3,17,2257,7.53,4,6,2,12,2221,5.4,6,15,4,25,2209,11.32,7,10,6,23,2254,10.2,4,31.59,5,16,5,10,5,15.8,22.3,281.5,23.5,580.4,4.9,,4,100,85,116,4.2,19.9,16.9,2,8.3,91,36,52,38,33,88,100,90,29,3,9,5,3,34,33,34,7,3,6.42,24.7,23.1,3,9,3.4,6.6,4.4,24.4,54.2,0.383,8,0.58,2.17,2.01,,,0.31,Other,Other,103.2931937,103,-3.293193717,Other
W01000039,Trearddur 1,Isle of Anglesey 004C,W02000004,Isle of Anglesey 004,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,34,0,3,1,4,948,4.22,0,3,2,5,953,5.25,1,2,1,4,964,4.15,2,3,0,5,989,5.06,8,7.13,8,9,9,5,7,12.9,19.5,278.2,18.9,653.2,6.1,,9,106,92,132,1.4,40.5,10.8,1,24.2,69,59,74,62,49,79,83,72,13,8,19,8,5,25,13,21,13,7,3,20.6,18.9,2.1,6,3.1,6.6,4.4,38.3,73.9,0.232,8,0.57,1.53,0.71,,,0.66,Other,Other,106.3036649,106,-0.303664921,Other
W01000040,Trearddur 2,Isle of Anglesey 004D,W02000004,Isle of Anglesey 004,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),Small,Dispersed (not in a BUA),WXX000001,31,0,2,2,4,1125,3.56,0,6,0,6,1117,5.37,0,2,3,5,1118,4.47,0,4,0,4,1118,3.58,7,3.99,8,9,8,6,8,10.7,20.9,359.6,21.9,561.6,3.9,,9,103,96,124,1.7,50.4,10.2,2,28.2,71,61,70,64,56,73,77,71,9,4,11,5,8,16,6,16,9,5,5.31,17.2,15.6,3.1,7,3.8,6.9,4.5,33.9,65.7,0.232,6,0.76,1.76,3.66,0.54,,1.83,Other,Other,105.3403141,105,-2.340314136,Other
W01000041,Tudur,Isle of Anglesey 006D,W02000006,Isle of Anglesey 006,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Less Sparse),W37000298,Llangefni BUA,WXX000001,168,6,8,2,16,1650,9.7,7,15,3,25,1649,15.16,12,10,3,25,1647,15.18,11,16,2,29,1667,17.4,2,77,1,30,2,16,3,16.2,26.1,487.9,29.1,644.6,8.8,,2,106,85,106,8.9,24.1,32.7,2,1.3,35,30,33,33,30,35,48,41,6,4,6,7,4,5,8,9,5,7,8.2,8.4,7.7,1.3,10,5.4,7.2,4.8,5.2,56.2,0.194,2,1.83,4.58,3.83,0.9,,,Consistently decreasing,Decreasing (2017-20),102.0890052,102,3.910994764,Outperforming
W01000042,Tysilio,Isle of Anglesey 008D,W02000008,Isle of Anglesey 008,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Less Sparse),W37000348,Menai Bridge BUA,WXX000001,135,2,14,4,20,2154,9.29,5,12,7,24,2127,11.28,2,23,8,33,2179,15.14,1,11,9,21,2136,9.83,8,12.5,7,11,7,7,7,13.6,17.9,364,21,571.2,5.7,,7,105,87,122,2.5,35.6,13.4,6,22,28,21,28,28,23,27,27,26,6,4,6,5,3,6,5,6,4,8,4.11,13.9,12.9,1.7,10,5.8,7.3,4.9,8.3,89.7,0.197,5,1.36,1.82,3.05,,,,Consistently decreasing,Decreasing (2018-20),106.3036649,106,-1.303664921,Other
W01000043,Valley 1,Isle of Anglesey 004E,W02000004,Isle of Anglesey 004,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),W37000139,Valley BUA,WXX000001,75,1,5,2,8,1278,6.26,4,5,1,10,1266,7.9,8,7,1,16,1267,12.63,7,6,3,16,1231,13,5,23.56,4,20,5,10,5,14.5,21.8,432.1,25.2,563.4,7.5,,4,98,86,116,4.1,25.2,18.7,7,10.2,23,20,39,23,24,48,50,42,4,3,15,4,3,21,13,14,3,10,1.83,11.4,10.5,2,4,4.3,7.1,4.6,53.5,69.3,0.184,5,0.95,2.77,2.48,,,,Consistently decreasing,Decreasing (2017-20),103.6368421,104,-5.636842105,Other
W01000044,Valley 2,Isle of Anglesey 004F,W02000004,Isle of Anglesey 004,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),W37000139,Valley BUA,WXX000001,32,0,3,1,4,1084,3.69,1,4,1,6,1103,5.44,1,5,0,6,1141,5.26,1,3,2,6,1139,5.27,9,4.84,9,6,8,5,8,12.2,17.4,269.9,19.8,603.5,5.6,,9,102,95,132,1.8,28.9,11.5,5,3.4,30,27,49,31,36,55,107,49,5,4,15,7,7,21,14,14,4,9,1.92,14.7,13.4,2,8,4.2,7.1,4.6,18.1,50,0.194,10,,1.09,0.75,,,,Other,Other,107.0104712,107,-5.010471204,Other
W01000047,Abererch,Gwynedd 011A,W02000020,Gwynedd 011,W06000002,Gwynedd,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,71,5,8,1,14,1336,10.48,2,6,0,8,1311,6.1,7,8,1,16,1303,12.28,5,5,2,12,1321,9.08,7,7.52,8,10,7,7,8,12,19.1,294,19.3,495,7.3,,8,103,89,131,2.3,37,16.7,2,11,56,47,62,49,46,58,78,83,12,5,13,6,3,13,12,16,5,3,6.2,26,24,4,8,3.6,6.9,4.6,24,27.2,0.326,9,0.47,1.22,0.95,,,,Other,Other,105.3403141,105,-2.340314136,Other
W01000048,Abermaw 1,Gwynedd 016A,W02000025,Gwynedd 016,W06000002,Gwynedd,Rural,Small Town and Fringe (Sparse),W37000293,Barmouth BUA,WXX000001,77,1,4,2,7,1382,5.07,3,8,1,12,1391,8.63,2,5,2,9,1367,6.58,1,8,3,12,1390,8.63,5,15.18,5,15,6,9,6,13.1,21.4,455.4,20.5,748.5,3.9,,4,93,89,119,3.5,9.5,21,2,13.6,36,31,35,35,31,36,36,103,8,6,8,8,5,7,6,42,7,7,3.12,18,16.8,2.8,7,3.2,7.3,4.9,37.9,85.7,0.378,6,0.81,2.38,2.21,0.62,,,Other,Other,103.6368421,104,-10.63684211,Underperforming
W01000049,Abermaw 2,Gwynedd 016B,W02000025,Gwynedd 016,W06000002,Gwynedd,Rural,Small Town and Fringe (Sparse),W37000293,Barmouth BUA,WXX000001,42,1,4,1,6,1090,5.5,4,2,0,6,1076,5.58,1,7,2,10,1074,9.31,3,5,0,8,1067,7.5,6,14.19,6,14,5,10,9,9.8,19.9,281.7,17.3,481.8,3.4,,4,95,90,113,5.3,18.8,18,7,0.4,19,17,25,21,24,21,21,73,3,1,5,3,4,3,3,40,4,2,5.53,32.8,29.8,7.2,10,3.2,7.3,4.9,9.1,100,0.289,3,1.28,4.86,2.77,,,,Consistently decreasing,Decreasing (2018-20),104.5767196,105,-9.576719577,Other
W01000050,Arllechwedd,Gwynedd 003A,W02000012,Gwynedd 003,W06000002,Gwynedd,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,114,1,4,3,8,1451,5.51,3,6,6,15,1490,10.07,3,13,4,20,1396,14.33,4,6,3,13,1357,9.58,5,12.6,5,14,5,10,8,12.8,18.2,254,21.9,603.5,4.4,,8,109,91,126,2.7,37.5,13,2,22.4,62,52,61,56,43,58,62,72,12,10,12,10,7,14,13,19,13,2,5.84,34.3,31.6,5.3,5,5.7,7.4,4.9,44,64.1,0.3,4,1.05,2.52,3.58,1.02,0.75,0.99,Consistently decreasing,Decreasing (2018-20),103.6368421,104,5.363157895,Outperforming
W01000051,Bala,Gwynedd 015A,W02000024,Gwynedd 015,W06000002,Gwynedd,Rural,Small Town and Fringe (Sparse),Small,Dispersed (not in a BUA),WXX000001,124,2,13,2,17,2167,7.84,7,8,2,17,2122,8.01,7,21,4,32,2094,15.28,2,12,2,16,2035,7.86,7,29.04,5,14,6,9,6,14.5,19.4,409.4,19.1,594.9,5.9,,5,93,86,116,2.1,32.3,19.7,7,8.2,25,20,30,25,21,28,31,28,3,3,5,3,3,4,3,4,3,7,3.31,17.6,16,3.4,5,3.5,7.1,4.9,47.6,99.4,0.4,5,1.13,2.32,2.15,0.69,0.23,,Consistently decreasing,Decreasing (2018-20),105.3403141,105,-12.34031414,Other
W01000052,Bethel & Cwm-y-Glo 1,Gwynedd 004A,W02000013,Gwynedd 004,W06000002,Gwynedd,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,66,0,3,5,8,1229,6.51,2,5,5,12,1206,9.95,2,4,2,8,1197,6.68,1,7,4,12,1209,9.93,9,5.12,9,6,10,4,7,13.6,19.4,346,19.1,577.9,5.7,,8,104,91,124,2.4,45.8,12.6,4,8.6,66,31,39,21,22,62,61,38,16,11,11,4,2,17,9,9,13,5,5.89,16.4,14.5,3.3,10,4.5,6.9,4.6,2.1,77.2,0.396,10,,0.69,0.37,,,,Other,Other,107.0104712,107,-3.010471204,Other
W01000053,Bethel & Cwm-y-Glo 2,Gwynedd 004B,W02000013,Gwynedd 004,W06000002,Gwynedd,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,77,3,8,9,20,1187,16.85,0,5,4,9,1192,7.55,1,5,3,9,1214,7.41,0,9,4,13,1196,10.87,7,7.02,9,6,10,3,9,10.4,18.8,271.9,19.2,472.8,0.8,,9,107,88,130,2.1,49,12.9,2,37.2,71,56,56,59,69,89,123,82,14,5,8,7,5,20,17,9,6,1,7.9,36.5,34,5.1,8,4.1,6.7,4.5,24.8,45.6,0.401,8,0.58,1.4,1.19,1.03,,0.46,Consistently increasing,Increasing (2018-20),105.3403141,105,1.659685864,Other
W01000054,Bontnewydd,Gwynedd 007A,W02000016,Gwynedd 007,W06000002,Gwynedd,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,53,0,4,1,5,1093,4.57,2,5,1,8,1123,7.12,2,4,2,8,1138,7.03,3,3,1,7,1131,6.19,8,1.77,8,8,8,6,8,14,18.2,330.4,16.5,483,4.5,,8,105,88,126,1.8,48.7,12.5,2,5.6,49,34,50,37,32,48,66,59,13,4,15,4,3,13,13,12,9,6,3.49,20,19,3.1,8,4.2,7.1,4.6,26.4,55.1,0.338,4,1.5,1.48,1.73,,,0.4,Other,Other,106.3036649,106,-1.303664921,Other
W01000056,Bowydd and Rhiw,Gwynedd 009A,W02000018,Gwynedd 009,W06000002,Gwynedd,Rural,Small Town and Fringe (Sparse),W37000076,Blaenau Ffestiniog BUA,WXX000001,142,4,15,5,24,1941,12.36,6,27,1,34,1927,17.64,6,16,0,22,1907,11.54,9,13,3,25,1908,13.1,3,39.6,4,19,4,12,4,15.5,23.7,428.1,24.3,690.9,5.6,,4,103,81,118,4.6,27.3,17.1,3,9.3,35,27,32,35,26,34,42,33,6,4,6,5,3,6,4,5,7,1,5.71,35.7,32.7,6.2,8,3.9,8,5,27,100,0.267,2,1.81,3.94,3.67,1.08,,0.68,Other,Other,102.7225131,103,0.277486911,Other
W01000057,Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,Gwynedd 016C,W02000025,Gwynedd 016,W06000002,Gwynedd,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,84,1,4,2,7,1468,4.77,3,3,1,7,1442,4.85,0,5,3,8,1396,5.73,1,6,1,8,1440,5.56,5,6.48,8,8,8,6,9,11.8,16.9,266,17.3,613.9,7.1,,7,96,86,125,1.6,22.1,12.1,1,50.8,93,92,95,96,97,106,119,112,20,17,21,20,10,19,18,19,17,1,6.1,56,52.5,5.9,7,3,7,4.7,37.6,70.6,0.449,9,0.48,1.19,0.99,,,,Consistently decreasing,Decreasing (2018-20),103.6368421,104,-7.636842105,Underperforming
W01000059,Cadnant (Gwynedd),Gwynedd 006A,W02000015,Gwynedd 006,W06000002,Gwynedd,Rural,Small Town and Fringe (Less Sparse),W38000043,Caernarfon BUASD,WXX000001,127,12,14,9,35,2061,16.98,9,15,5,29,2064,14.05,7,16,3,26,2068,12.57,7,12,5,24,2101,11.42,2,53,2,26,2,17,3,15.9,26.3,535.8,24.2,673.7,6.6,,3,105,86,106,4.2,21.7,28.4,3,0.8,29,23,34,21,23,28,29,28,7,5,10,5,3,8,3,3,6,4,7.42,15,13.7,3,9,6.6,7.8,5.3,20,90.6,0.321,1,3.35,6.85,6.34,0.97,0.48,0.59,Consistently increasing,Increasing (2017-20),102.0890052,102,2.910994764,Other
W01000060,Corris/Mawddwy,Gwynedd 015B,W02000024,Gwynedd 015,W06000002,Gwynedd,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,65,1,12,0,13,1310,9.92,0,5,3,8,1323,6.05,1,5,2,8,1305,6.13,1,7,1,9,1307,6.89,5,6.93,7,11,8,6,8,12,18.5,283,18.7,612.8,3.6,,8,107,87,133,2.5,36.1,12.4,1,29.8,126,112,129,81,63,122,126,102,32,18,28,8,9,32,28,28,18,1,5.61,54.6,50.4,6.3,5,3,7.4,5,48.6,93.2,0.241,9,0.36,0.8,1.85,,,,Other,Other,103.6368421,104,3.363157895,Other
W01000061,Criccieth,Gwynedd 011B,W02000020,Gwynedd 011,W06000002,Gwynedd,Rural,Small Town and Fringe (Sparse),Small,Dispersed (not in a BUA),WXX000001,79,5,10,3,18,1789,10.06,2,4,1,7,1788,3.91,0,12,2,14,1792,7.81,1,5,4,10,1807,5.53,9,8.25,6,12,8,6,8,11.3,17.5,269.4,21.4,618,6,,8,105,90,125,2.7,35.1,13.5,9,3.7,24,21,25,24,24,28,54,63,3,3,4,4,4,4,16,20,4,7,2.59,22.6,20.5,4.6,10,3.6,6.8,4.6,11,94.8,0.349,9,0.43,1.11,1.99,,,,Other,Other,107.0104712,107,-2.010471204,Other
W01000062,Deiniol,Gwynedd 001A,W02000010,Gwynedd 001,W06000002,Gwynedd,Urban,Large Town (Less Sparse),W38000009,Bangor BUASD,WXX000001,82,4,7,5,16,2473,6.47,3,7,2,12,2387,5.03,4,5,1,10,2501,4,9,7,0,16,2245,7.13,5,10.72,8,8,9,4,5,14.4,20,563.5,18.2,754.9,5.7,,5,99,75,120,4.4,33.8,11.8,2,26.6,23,20,27,22,27,23,28,31,3,2,7,3,4,5,5,9,4,1,11.66,19.6,17.4,4,7,8.1,8.2,5.5,22.5,59.4,0.144,1,2.83,8.17,10.4,2.8,1.06,0.67,Consistently increasing,Increasing (2018-20),103.6368421,104,-4.636842105,Other
W01000063,Deiniolen,Gwynedd 005A,W02000014,Gwynedd 005,W06000002,Gwynedd,Rural,Small Town and Fringe (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,128,0,7,5,12,2111,5.68,5,9,5,19,2115,8.98,7,8,5,20,2118,9.44,6,16,4,26,2051,12.68,4,32.66,4,17,5,10,5,14,22.5,365.4,26.5,647.7,5.7,,7,104,86,130,2.5,27.6,17.9,1,12.1,63,25,58,44,26,114,103,80,20,6,19,10,4,32,27,17,10,1,5.63,44.2,41.5,5.1,8,4.1,6.9,4.6,31.7,86.3,0.306,4,1.46,2.38,1.2,1.4,,0.44,Consistently decreasing,Decreasing (2017-20),103.2931937,103,0.706806283,Other
W01000064,Dewi,Gwynedd 002A,W02000011,Gwynedd 002,W06000002,Gwynedd,Urban,Large Town (Less Sparse),W38000009,Bangor BUASD,WXX000001,110,3,15,5,23,1901,12.1,6,8,3,17,1948,8.73,5,14,3,22,1926,11.42,6,11,1,18,1901,9.47,6,30.36,5,15,5,9,6,16.4,17.5,343.6,25.6,747.9,3.9,,7,106,90,124,3.5,34.5,16.1,5,10,25,19,35,26,20,34,30,29,9,3,12,6,2,12,6,8,5,4,7.95,14.7,13.2,2.6,7,7.5,7.8,5.3,34.3,90.1,0.165,3,1.71,3.05,4.19,0.76,0.46,0.29,Other,Other,104.5767196,105,1.423280423,Other
W01000065,Diffwys and Maenofferen,Gwynedd 009B,W02000018,Gwynedd 009,W06000002,Gwynedd,Rural,Small Town and Fringe (Sparse),W37000076,Blaenau Ffestiniog BUA,WXX000001,64,2,5,1,8,1145,6.99,4,6,3,13,1186,10.96,6,5,0,11,1167,9.43,4,5,0,9,1148,7.84,4,15.01,4,18,4,13,5,14.1,21.6,464.6,24.6,685.9,4.9,,3,103,83,114,7.2,25.7,23,7,1.2,21,22,22,22,20,22,22,24,2,2,3,2,3,3,3,3,2,2,5.53,31.3,29,6.1,5,4.1,8.1,5.3,46.7,100,0.293,3,1.57,2.57,3.57,,,0.83,Other,Other,103.2931937,103,-0.293193717,Other
W01000066,Dolbenmaen,Gwynedd 010A,W02000019,Gwynedd 010,W06000002,Gwynedd,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,71,3,7,1,11,1244,8.84,3,4,1,8,1234,6.48,0,8,3,11,1254,8.77,0,7,3,10,1230,8.13,5,8.67,7,12,7,8,7,13.5,18.7,305.7,20,621.2,4,,9,107,90,132,1.5,31,18.2,1,20.8,90,78,83,79,80,94,91,96,17,15,17,15,7,18,17,16,16,1,6.4,43.5,40.6,5.1,6,3.3,6.6,4.4,19.8,41.4,0.115,10,,1.19,1.3,,,,Other,Other,103.6368421,104,3.363157895,Other
W01000067,Dolgellau North,Gwynedd 016D,W02000025,Gwynedd 016,W06000002,Gwynedd,Rural,Small Town and Fringe (Sparse),W37000350,Dolgellau BUA,WXX000001,31,1,5,1,7,1185,5.91,1,7,1,9,1180,7.63,0,1,0,1,1139,0.88,4,7,2,13,1189,10.93,7,4.29,8,9,6,8,8,12.1,17.8,345.2,23.8,628.3,5.8,,7,99,84,126,2.3,37.6,14,3,9.6,33,31,40,35,41,48,45,60,5,4,6,5,4,6,6,6,5,5,3.75,24.8,22.5,3.9,5,3.5,7.5,5.1,47.9,82.3,0.335,3,1.7,3.67,2.67,0.43,,,Other,Other,105.3403141,105,-6.340314136,Other
W01000068,Dolgellau South,Gwynedd 016E,W02000025,Gwynedd 016,W06000002,Gwynedd,Rural,Small Town and Fringe (Sparse),W37000350,Dolgellau BUA,WXX000001,91,2,4,4,10,1544,6.48,3,8,2,13,1529,8.5,3,11,4,18,1533,11.74,4,3,2,9,1528,5.89,7,14.06,6,12,5,10,6,13.9,19.5,350.1,23.4,630.2,3.7,,5,105,87,119,4.4,21.1,17.1,7,5.2,24,21,25,25,25,36,25,24,5,3,5,4,3,7,3,3,6,6,5.28,15.4,14.1,3.3,9,3.4,7.5,5.1,21.6,93.5,0.328,6,0.85,2.72,2,0.67,,,Consistently decreasing,Decreasing (2018-20),105.3403141,105,-0.340314136,Other
W01000069,Dyffryn Ardudwy,Gwynedd 013A,W02000022,Gwynedd 013,W06000002,Gwynedd,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,68,0,6,0,6,1547,3.88,0,7,2,9,1549,5.81,3,5,1,9,1534,5.87,2,8,0,10,1538,6.5,8,9.84,7,10,7,6,8,12.2,17.8,272.6,17.4,538.7,9.6,,6,97,88,125,3.1,26.6,19,2,5.8,58,29,69,28,34,59,71,85,21,4,21,4,4,21,19,23,5,8,2.38,19.9,18.9,2.6,7,3.2,6.9,4.7,25.7,33.8,0.28,9,0.37,1.89,0.7,0.4,,,Consistently decreasing,Decreasing (2017-20),106.3036649,106,-9.303664921,Other
